Designator,Mid X,Mid Y,Rotation,Layer
BT1,50.0,-26.0,0.0,bottom
C1,79.4,-40.8,90.0,top
C10,16.6,-12.8,180.0,top
C11,21.8,-12.8,180.0,top
C12,6.2,-39.4,180.0,top
C13,11.4,-39.4,180.0,top
C14,16.6,-39.4,180.0,top
C15,21.8,-39.4,180.0,top
C16,79.4,-3.089775,270.0,bottom
C17,57.9,-48.2,90.0,top
C18,44.05,-20.5,270.0,top
C19,48.8,-10.9,180.0,top
C2,34.4,-49.5,90.0,top
C20,79.3,-11.944887,270.0,bottom
C21,26.7,-24.1,270.0,top
C22,28.2,-24.1,270.0,top
C23,29.7,-24.1,90.0,top
C24,32.7,-24.1,90.0,top
C25,28.3,-19.3,90.0,top
C26,31.2,-28.2,270.0,top
C27,76.7,-48.5,0.0,top
C28,31.7,-45.4,0.0,top
C29,73.8,-3.144887,90.0,top
C3,71.8,-8.8,180.0,top
C30,73.8,-11.9,90.0,top
C31,66.0,-44.5,90.0,top
C32,31.2,-16.0,180.0,top
C33,59.4,-48.2,90.0,top
C34,54.6,-41.2,270.0,top
C35,41.5,-18.55,0.0,top
C36,71.8,-12.044887,270.0,bottom
C37,29.7,-28.2,270.0,top
C38,32.7,-28.2,270.0,top
C39,6.2,-12.8,180.0,top
C4,26.7,-28.2,90.0,top
C40,45.0,-46.2,90.0,top
C41,72.6,-42.6,0.0,top
C42,76.7,-38.5,0.0,top
C43,72.6,-40.7,0.0,top
C44,71.8,-3.289775,270.0,bottom
C45,64.5,-48.1,90.0,top
C46,66.0,-48.1,90.0,top
C47,48.8,-12.4,0.0,top
C48,72.6,-46.0,0.0,top
C49,72.6,-47.95,0.0,top
C5,28.2,-28.2,90.0,top
C50,72.6,-49.9,0.0,top
C51,83.3,-40.8,90.0,top
C52,81.3,-44.5,270.0,top
C53,79.4,-44.5,270.0,top
C54,81.3,-40.8,90.0,top
C55,75.4,-6.144887,0.0,top
C56,28.4,-33.0,90.0,top
C57,26.7,-19.3,90.0,top
C58,26.7,-33.0,90.0,top
C59,76.7,-40.1,0.0,top
C6,31.2,-24.1,90.0,top
C60,72.6,-44.3,180.0,top
C61,68.755112,-48.8,0.0,bottom
C62,68.755112,-39.9,0.0,bottom
C63,86.0,-39.655112,90.0,bottom
C64,86.0,-45.244887,270.0,bottom
C65,72.6,-38.8,0.0,top
C66,39.1,-7.15,90.0,top
C67,19.7,-48.3,90.0,top
C7,27.6,-21.7,180.0,top
C8,27.6,-30.6,0.0,top
C9,11.4,-12.8,180.0,top
D1,32.1,-20.4,90.0,top
D10,55.3,-49.2,0.0,top
D11,61.2,-48.1,270.0,top
D12,52.7,-44.8,90.0,top
D13,80.9,-37.7,180.0,top
D3,30.2,-20.4,90.0,top
D4,32.1,-31.9,270.0,top
D5,30.2,-31.9,270.0,top
D6,29.1,-49.0,0.0,top
D8,80.9,-47.6,180.0,top
D9,47.6,-46.5,90.0,top
FB1,41.6,-20.9,180.0,top
FB2,51.2,-11.5,90.0,top
J10,110.2,-14.0,0.0,bottom
J2,40.5,-41.7,180.0,bottom
J5,103.3,-34.6,180.0,bottom
J8,7.9,-38.0,0.0,bottom
J9,7.9,-14.0,0.0,bottom
Q1,76.6,-11.8,90.0,top
Q10,76.4,-46.0,0.0,top
Q13,68.8,-46.0,180.0,top
Q14,76.4,-42.6,0.0,top
Q2,76.6,-3.044887,90.0,top
Q3,41.8,-49.7,270.0,top
Q4,82.3,-11.8,180.0,top
Q5,41.8,-45.8,270.0,top
Q6,82.5,-3.144887,0.0,top
Q8,68.8,-42.6,180.0,top
R1,11.4,-15.3,0.0,top
R10,16.6,-36.7,0.0,top
R11,21.8,-36.7,0.0,top
R12,25.2,-28.2,270.0,top
R13,25.2,-20.8,90.0,top
R14,33.8,-31.5,270.0,top
R15,33.8,-20.7,90.0,top
R16,25.2,-31.5,90.0,top
R17,53.9,-13.5,180.0,top
R18,25.2,-34.8,90.0,top
R19,55.4,-47.3,0.0,top
R2,16.6,-15.3,0.0,top
R20,51.4,-15.9,90.0,top
R21,51.2,-49.9,90.0,top
R22,45.2,-12.4,0.0,top
R23,22.5,-41.3,180.0,top
R24,41.5,-17.0,180.0,top
R25,34.0,-40.4,90.0,top
R26,34.1,-44.5,90.0,top
R27,82.4,-7.244887,180.0,top
R28,82.5,-9.3,180.0,top
R29,37.3,-45.4,180.0,top
R3,21.8,-15.3,0.0,top
R30,32.8,-49.5,90.0,top
R31,31.1,-17.5,180.0,top
R32,78.9,-9.0,180.0,top
R33,79.0,-6.044887,180.0,top
R34,82.4,-5.644887,180.0,top
R35,53.9,-15.0,0.0,top
R36,28.4,-45.4,0.0,top
R37,52.7,-49.9,90.0,top
R38,49.3,-46.4,90.0,top
R39,50.8,-46.4,90.0,top
R4,6.2,-15.3,0.0,top
R40,63.0,-48.1,270.0,top
R41,86.9,-10.9,0.0,top
R42,54.5,-44.8,270.0,top
R43,86.7,-5.93,0.0,top
R44,86.7,-7.5,0.0,top
R45,86.7,-2.7,0.0,top
R46,86.7,-4.4,0.0,top
R47,86.9,-9.3,0.0,top
R48,86.9,-12.5,0.0,top
R49,86.9,-14.0,0.0,top
R5,25.2,-24.1,90.0,top
R50,75.4,-9.0,0.0,top
R51,35.3,-29.0,180.0,top
R52,30.9,-34.7,0.0,top
R53,42.4,-14.6,270.0,top
R54,35.2,-23.1,0.0,top
R55,86.7,-1.0,180.0,top
R56,93.2,-2.6,90.0,top
R6,25.2,-17.5,90.0,top
R7,27.7,-16.7,0.0,top
R8,6.2,-36.7,0.0,top
R9,11.4,-36.7,0.0,top
RV1,30.9,-5.71,270.0,bottom
RV2,21.6,-26.01,270.0,top
RV5,41.0,-5.76,270.0,bottom
RV6,21.5,-47.01,270.0,bottom
SW1,47.3,-26.0,0.0,top
SW2,77.2,-26.0,180.0,top
U1,46.9,-15.9,270.0,top
U2,37.4,-48.1,0.0,top
U3,60.2,-42.7,180.0,top
U4,90.4,-2.3,270.0,top
U6,31.2,-42.5,90.0,top
